Name,Dominant Topic, Percentage of Positive Sentiment,Review Quality Index,Comment,Speciality,Number of Review,Bayesian Adjusted Rating
Dr. Alan A. Adler,Staff,0.90625,0.881957557,"Review
During my pregnancy I had gone to two different OB offices prior to Dr Adler's practice and I must tell that I found not only a great physician and a very well trained staff, but most important I have found a very knowledgeable team of doctors.
Two weeks ago I gave birth to my little girl thanks to the outstanding job of Dr. Adler and his team who were able to identify that I was at a High-Risk Pregnancy and developed a plan to make sure my baby would be born safely and healthy.
I highly recommend Dr. Adler's practice because besides my pregnancy every question or medical condition I had was always very well explained, and also it was always very easy of scheduling appointments and there was never waiting time considering that 99% of my every week appointments were on time. The office environment is very well clean and organized, plus a
very friendly and courteous staff.",Gynecologist (OBGYN),44,4.059027778
Dr. Alan A. Dechiario,Punctuality,0.5,0.113315799,"Dr. Dechiario is fantastic in every way. He is knowledgeable, polite, sensitive, on time and never rushes. Whenever I've called him in an emergency situation, he's always followed up. He's thorough and attentive to changes in one's health, and as a result caught my husband's cancer early enough to save his life. We've been seeing him for 10 years. He's simply the best. His assistant is great too -- always mature, polite and professional. She's jumped hurdles to make sure all insurance referals are in order for specialist visits and testing.",Internist / Geriatrician,7,4.056074766
Dr. Alan A. Dechiario,Staff,1,0.202005128,"Dr. Dechiario is one of the best doctors I have ever met. He is not only knowledgeable, but also has pride and confidence in his job. He is very warm, polite, caring, good listner, and always gives thorough explanations to my questions and concerns. I am so fortunate have found him as a primary care physician. Thank you very much, Dr. Dechiario!",Internist / Geriatrician,7,4.056074766
Dr. Alan B. Kadet,Punctuality,0.666666667,0.917041482,"I've been going to Dr Kadet for around 4 years now. His staff is nasty, especially the lady(ies) that works the front desk. She ALWAYS asks for co-pay when I visit for my annual check up and I ALWAYS remind her that since this is my annual check-up, there is ZERO copay regardless of what insurance you have. Her response is always an eye roll or some nasty response. As for Dr Kadet, he seems to be a great Doctor. Thankfully, I'm young and healthy and don't have much to worry about. Perhaps that why he spends literally zero time with me. I do feel rushed and almost pressured not to ask him any questions. I visit the Dr once a year so I feel that i'm entitled to ask questions or express concerns. His schedule is so tight he just doesn't really seem to care about you. I'm sure he does, but his actions don't show it. I received something in the mail from him about how he is restructuring his practice and perhaps he is doing so because of the very reason I listed above - the healthcare system doesn't really allow him to spend time with patients and forces him to rush through just to cover his bills. So he will be ""limiting his panel"" so he can focus more time on a small group of patitents.. an exclusive club if you will, but it will cost you. I don't think I will be joining this club.",Family Doctor / G.P.,26,4.02984127
Dr. Alan B. Kadet,Staff,1,0.072831037,"Dr Kadet has been my doctor since 1987 , my insurance does not cover any longer, I still have my check-ups with Dr Kadet he has always been helpful, patient, an available to speak . I do recommend him to anyone who is looking for an honest and efficient doctor. He has always had time to answer my questions.Has always given the test results promptly .",Family Doctor / G.P.,26,4.02984127
Dr. Alan M. Engler,Punctuality,0.714285714,0.525381691,"When I decided to get implants, I reached out to a friend who is in medical field and had implants done years ago. They look great, so I wanted her doctor. After meeting Dr. Engler, I liked him instantly. I was very comfortable with him and he was clearly extremely experienced. It was a bit more to plan since I live in Boston, but I wanted the best doctor for such an involved proceedure with visually lasting effects, and I felt that doctor was Dr. Engler. Due to upcoming events, I wanted the surgery soon as possible which they accomodated. He & his staff called several times in advance to discuss details. When the surgery week arrived, there were new challenges that came up, complicated by the fact that I was in Boston. Dr Engler & his staff had me come in a little later on my surgery day and they stayed after hours to accomodate me. I really can't recommend Dr Engler enough due to his experience, professionalism, and flexibility in working with someone coming in from out of town.","Plastic / Cosmetic Surgeon, Physician",68,4.288690476
Dr. Alan M. Engler,Konwledge,0.962264151,0.939838661,Had lipoma removed last by him excellent procedure very flexible with schedule. Great surgeon.,"Plastic / Cosmetic Surgeon, Physician",68,4.288690476
Dr. Alan M. Engler,Staff,0.875,0.263584319,Dr. Engler's staff is very friendly and I've never had to wait more than 2 minutes (even if I've gotten there early). His demeanor immediately put you at ease and his follow up post procedure is fantastic. I would definitely recommend him to anyone.,"Plastic / Cosmetic Surgeon, Physician",68,4.288690476
Dr. Alan N. Queen,Punctuality,0,0.873785277,"If you're scared of going to the dentist, this is the guy you should see. He takes his time, tells you what's wrong and what the options are to fix the problem. Then he fixes the problem without any pain. ",Dentist,8,4.074074074
Dr. Alan N. Queen,Staff,0.833333333,0.871193964,I was afraid of the dentist until I met Dr. Queen. He and his friendly staff make appointments more like visiting a neighbor. He answers questions and takes his time to do a good job. I recommend him highly!,Dentist,8,4.074074074
Dr. Alan R. Roth,Punctuality,0.5,0.057390663,very good doctor and teacher I did my residency in his program and he is taugh but very human and fair.I wish i could be as succesful as he is.,Family Doctor / G.P.,5,4.038952381
Dr. Alan R. Roth,Staff,0.666666667,0.071011333,"I enjoy both My doctors, Dr. Roth and Dr. Harvey. They are true gentlemen and caring. Their front desk is a pleasure as well. They are very personable, professional, friendly, and always show interest in my health. Dr. Roth's bedside manners are wonderful.",Family Doctor / G.P.,5,4.038952381
Dr. Alber Ftiha,Staff,0.8,0.100299273,"Dr. Alber takes on the best qualities of Dr. Kurz. He is most humble, knowledgable, thorough, personable, caring, genuine, dedicated, all-around excellent top-notch doctor. I am so lucky that Dr. Kurz found him to take over his practice. I feel like I am really safe and protected by the care provided by Dr. Alber. He is the best. He cares with a capital C. My only gripe is that the restroom is tiny and not always well-maintained. The equipment in the patient offices is a little dated and the fans, sinks, etc. could use a little ""spit and polish."" That is, where is the Windex and/or the disinfecting wipes? Otherwise, 5 Stars!",Internist / Geriatrician,5,3.993619048
Dr. Albert K. Sassoon,Punctuality,0.5,0.833148924,"You could not ask for a better doctor. He goes above and beyond, to make you comfortable. He is the best at what he does. I live an hour from his office and it's worth the ride.",Gynecologist (OBGYN),11,4.063063063
Dr. Albert K. Sassoon,Konwledge,1,0.289380184,"Dr. Sassoon is wonderful. I had to have a large endometiromal ovarian cyst removed. With his combination of compassion and surgical skill, I felt I was in the best of hands. He made a very scary time much less so. Pre-op and post-op questions were always answered right away, even on weekends. On the day of surgery, each member of his entire surgical/anesthesial team met with me individually to introduce themselves, to review what they would be doing, and to ask questions. My husband and I were both comforted by the care and consideration they showed. He checked on me every day after surgery until I was released. His office staff is warm, pleasant and knowledgeable. I never have a problem making appointments. Finally, I was also very grateful that, although I chose a different type of surgery than he originally suggested, he worked with me to honor my wishes despite it making his job harder.",Gynecologist (OBGYN),11,4.063063063
Dr. Albert K. Sassoon,Staff,1,0.885346024,"I have been going to Al for over 20 years and he is a very thorough, caring doctor.",Gynecologist (OBGYN),11,4.063063063
Dr. Alex Tepper,Punctuality,0.578947368,0.638057719,"Terrible Dr. Don't take the time to know the patient and does not even show interest in getting to know new patients. For my first appointment he was in a complete rush, was rude by treating me like I am getting ""old to have a baby"". Worst part? Sent me at his own office for a complete blood test but conveniently he ""forgot to mention"" that that test will include a genetic test (I would have said no to that on my first appointment). I had to come back to his office twice when I left to pick up other procedures referrals because his receptionist ""forgot"" to gave it to me. He seemed more interested in pregnant women than in ones like me that are still trying to conceive. And don't get me started on how he and his staff are not attending my calls for an explanation of how he could perform a genetic test without my consent, and assist with all the bills and claims I am getting. Not someone I would recommend. There are better Dr out there. ",Gynecologist (OBGYN),34,4.005597015
Dr. Alex Tepper,Konwledge,1,0.032774182,He was the best doctor I have ever been to. Made me feel at ease completely and even made me laugh.,Gynecologist (OBGYN),34,4.005597015
Dr. Alex Tepper,Staff,0.928571429,0.699131448,"Dr. Tepper is a top-rate doctor. Very knowledgeable, does not rush to perform c-sections, good bedside manner. Office Staff is not half bad as others make it. It's fine.",Gynecologist (OBGYN),34,4.005597015
Dr. Alexander Blinski,Konwledge,1,0.007340274,"All around amazing doc, highly recommend. Worth any price.",Family Doctor / G.P.,7,4.065420561
Dr. Alexander Blinski,Staff,1,0.130634214,"I was referred to Dr. Blinski from a friend for Botox treatments that I have been getting for years. Not only is he well spoken and well educated, but the overall process was exceptional. I recommended him to my friends who would appreciate his unique house call service.",Family Doctor / G.P.,7,4.065420561
Dr. Alexander Lev,Punctuality,0,0.246264913,"Dr. Lev did a few unnecessary root canals on me a few years ago. Horrible, horrible experience.",Dentist,6,4.028301887
Dr. Alexander Lev,Staff,1,0.211820428,"Very good atmosphere within the office. Dr. Lev takes the extra time to explain all the treatment options and present it to you in an easy to understand way. Very passionate about what he does and is there to ACTUALLY help you! Always calm and professional, his ability to carry himself makes you very relaxed in the dental chair. Excellent dental hygienist Olga, who is very quick while delivering excellent quality cleanings. She is also very pleasant and knowledgeable and is always ready to answer questions and address any concerns you might have. Very reasonable prices!",Dentist,6,4.028301887
Dr. Alexander Shifrin,Punctuality,0.428571429,0.967362431,"The doctor stopped by my room in the hospital only 4 times and never examined how much my cervix opened, not even once during my delivery. By the end I insisted on looking down there to see how far I was, he looked and said that he could see the baby's head already! Horrible, anything could happen, but my baby and I're lucky...Then he could not diagnose a simple yeast infection, he suspected herpes but the test came out negative, he just shruged his shoulders. When I got pregnant again, by the results of the sono in his office he was confident that I had an ectopic pregnancy, he sent me to another place with better equipment: thank g-d everything was OK. I called the office few times, but he never returned my call. Finally, when I reached his medical assistant, she said why I was bothering them if everything was fine. I never called back, changed the doctor for good. I wish I had done it much earlier. He does not care for his patients, all he cares for is money.",Gynecologist (OBGYN),45,4.177586207
Dr. Alexander Shifrin,Konwledge,1,0.005196405,Amazing bedside manner and is very knowledgeable . Great at following up and stays on top of your health/issues as no other doctor ive come in contact with. ,Gynecologist (OBGYN),45,4.177586207
Dr. Alexander Shifrin,Staff,0.972972973,0.937756393,"I've been going to Dr Shifrin for a few years now and he just delivered by son. He was amazing during my pregnancy, answering any question that I had and always calling me back promptly. He has a very calming aura which is extremely important, especially during delivery. ",Gynecologist (OBGYN),45,4.177586207
Dr. Alexandra Fingesten,Punctuality,0.142857143,0.38064657,"Dr. Fingesten is very rushed, and simply didn't diagnose my problem. She didn't spend the time to ask enough basic questions of me, and instead ordered expensive tests. I am now searching for a new doc.",Family Doctor / G.P.,12,3.907678571
Dr. Alexandra Fingesten,Staff,0.8,0.419663124,"Dr. Fingesten has been my primary care doctor for over a decade. Sometimes you wait a long time to see her but that is because she takes an enormous amount of time to evaluate you, get to know you, respond to questions, etc. It is very difficult to find a doctor in NYC who actually spends time with you. She always responds to calls. She personally calls with test results and the like if they are not completely normal. She is an ""old-fashioned"" doctor in that she knows who you are and cares about your health. I have never had a problem with the staff, billing, referrals, or anything else. I highly recommend her. I would rather bring a book and wait an hour to see a very competent doctor who practices comprehensive medicine than be in and out in 15 minutes with a doctor who treats me as simply the 35th patient of the day. It is really important that your PCP be competent and caring--choose a good one.",Family Doctor / G.P.,12,3.907678571
Dr. Alexandre M. Scheer,Punctuality,1,0.116811135,"Dr. Scheer really understood my chronic condition and recommended several approaches, alternative, medical and surgical, to treat my condition. He listens and is very thorough. Its a pleasure to find a doctor who pays attention to me and not his computer. I am very confident of an excellent outcome. ",Family Doctor / G.P.,5,4.030952381
Dr. Alexandre M. Scheer,Staff,1,0.196888336,Outstanding physician- thoughtful and approachable. The office staff is friendly and professional. ,Family Doctor / G.P.,5,4.030952381
Dr. Alfred Shirzadnia,Staff,1,0.136940631,"I've been seeing Dr. Shirzadnia for over ten years now and he is absolutely the best dentist, I would follow him around the world if I had to!! I've referred both friends and family to him and they've all been extremely happy with his work. Not only does he make going to the dentist a little easier, but he is very knowledgeable, up to date with new dental care and listens to your needs! I had gone to a different dentist for a procedure and he wanted to pull out 2 teeth but Dr. Shirzadnia saved those teeth and my smile literally looks like a million bucks. People think I have veneers but they're my own teeth and I really have to thank my amazing dentist for it! Never had any complications under his care, and have nothing negative to say. It's a little bit of a commute for me since I live on Long Island but I rather commute than go to someone I'm hesitant about. I absolutely recommend him without hesitation!",Dentist,4,4.038461538
"Dr. Alison C. Wiesenthal, MD",Punctuality,0,0.00222344,Glad to have Dr. Wiesenthal! She helped me during my treatments for cancer and I will be forever grateful.,Internist / Geriatrician,6,3.962264151
"Dr. Alison C. Wiesenthal, MD",Konwledge,1,0.002026281,"Highly recommend! Dr. Wiesenthal helped me a lot, I am so grateful.",Internist / Geriatrician,6,3.962264151
"Dr. Alison C. Wiesenthal, MD",Staff,1,0.083220076,We could not be happier with this doctor's services. Alison Wiesenthal is excellent as a physician and as a caring person.,Internist / Geriatrician,6,3.962264151
Dr. Alison G. Ho,Punctuality,0.5,0.12830365,Dr Ho is fabulous. I left another docotor bc I was always worried and felt he never took my questions seriously. Dr Ho is the cmoplete opposite. She has a calming and assuring presence and you just feel like you are in the right hands. She makes sure you understand everything she is explaining about your body and takes the time to answer any questions. I agree with a previous reviewing that her bedside manner is a bit different but that is just becauase she does not coddle you. Then again I would take honest and reassuring over being coddled but leaving the office curious any day of the week. I recommend her services to anyone.,Gynecologist (OBGYN),8,4.032407407
Dr. Alison G. Ho,Staff,1,0.054862533,Dr. Alison Ho is very calm and quiet and efficient. She has a very calming presence (which is much needed for nervous pts like me during pelvic exams!). She is also extremely intelligent; I trust her diagnoses and I feel like I get good care from her.,Gynecologist (OBGYN),8,4.032407407
Dr. Alla Zozulya,Staff,1,0.682027951,best doctor and she cares about her patients I will recommend this doctor to everyone I know.,Family Doctor / G.P.,3,4.029126214
Dr. Allan E. Inglis,Punctuality,1,0.121427706,He is the best dr ever. My husband had total hips replacement surgery with him and he did the good job. He is so friendly and spend enough time with patient.,Orthopedic Surgeon,4,3.992788462
Dr. Allan E. Inglis,Konwledge,0,0.157448056,"Nine years ago, Dr Inglis performed my 3rd hip revision. This hip is still in! Dr. Inglis takes the time to explain and respond to any questions and concerns pre and post surgery.",Orthopedic Surgeon,4,3.992788462
Dr. Alok D. Sharan,Punctuality,0.333333333,0.24667692,"I can't thank Dr. Sharan enough! I herniated a disc in my back a few years ago and one day before I left for a very special trip to Hawaii, I triggered something where I was in excruciating pain and couldn't walk. I was extremely worried I wouldn't make my trip! I tried to get an emergency appointment with my original Dr. who is a top spine surgeon in Westchester and was told no one could see me and to try the emergency room. I was able to get an emergency appointment with Dr. Sharan that day and told him my concerns about not making the trip and he immediately said ""Don't worry, we will get you there!"" and he did! He prescribed a 6 day oral steroid treatment which began working quickly and allowed me to actually enjoy my vacation! And good thing he was able to get me to Hawaii because I ended up getting ENGAGED on my trip! He's such a nice man and very knowledgeable. Can't thank him enough!
",Orthopedic Surgeon,11,3.993243243
Dr. Alok D. Sharan,Konwledge,0.666666667,0.349662532,Dr. Sharan performed a minimally invasive lumbar fusion on me. I was walking the day of surgery and home by the next day.,Orthopedic Surgeon,11,3.993243243
Dr. Alok D. Sharan,Staff,0.8,0.27263889,Great doctor. Wonderful experience. I would recommend him to anyone.,Orthopedic Surgeon,11,3.993243243
Dr. Alvin Berman,Punctuality,0.75,0.774059361,"Visiting an ob/gyn is a daunting experience for most women. I wanted to find a good one that I can stick with, so after reading tons of reviews on ratemd, Alvin Berman was my first choice. Unfortuantely, when I called to make an appointment, I was informed that he does not take any type of insurance and a visit will cost $600 - $900. I know he's on the upper east side and ladies around there can probably afford to pay that much, but I'm just a 20 something girl with a decent job, but not one that allows me to splurge like that. Therefore, my search begins again to find a doctor who is willing to take my insurance (it's not cheap insurance either :() and $25 co-pay. Unfortunately, I was unable to experience the greatness of Dr. Berman that other ladies raved about.",Gynecologist (OBGYN),12,4.068482143
Dr. Alvin Berman,Konwledge,1,0.082160425,"I have been a patient of Dr. Berman's for 30 years now. I've tried other gyns who were closer to where I resided, but no one was as thorough and caring as Dr. Berman. He is the BEST at what he does. I've flown half way across the country to see him when I lived away from NY.",Gynecologist (OBGYN),12,4.068482143
Dr. Alvin Berman,Staff,0.857142857,0.120668508,"Fantastic professional . Very smart , helpful ... One of a kind physician .",Gynecologist (OBGYN),12,4.068482143
Dr. Amir Mayer,Punctuality,1,0.003170758,Excellent Dr. Very sharp and on the ball. Always pinpoints the exact problem and gets the right diagnosis. A+ in my book.,Internist / Geriatrician,4,4.009615385
Dr. Amir Mayer,Staff,1,0.113008788,"An excellent physician, knowledgeable, attentive,helpful with very comforting bedside manner. All PCP whould be like Dr.A.Mayer. Thank you, doctor.",Internist / Geriatrician,4,4.009615385
Dr. Amy Huang,Punctuality,0.625,0.965584986,"if your not having a baby or in baby rearing years than don't bother, I agree w/ other posting before I could blink the apointment was over. I have been going to her for years 10years , and than switched dr's and found out I had stage 3 uterine cancer that spread through out the pelvic area, now I look back and described symptoms to dr huang that where dismissed due to being in my mid 40s' ' and my body changing'",Gynecologist (OBGYN),29,4.009689922
Dr. Amy Huang,Staff,0.904761905,0.865452614,"Dr. Huang is an excellent doctor. She is never too busy to listen to your concerns. She is gentle and caring. She listens and asks questions, explains everything in detail, is respectful, and is a very calm, soothing person to talk to. I especially like that she is considerate of me as a family member, not just a patient. She also gave me lots of mental support during my pregrency. Thank you Dr. Huang and baby Rae is doing great and growing so fast.",Gynecologist (OBGYN),29,4.009689922
Dr. Anatoliy Konovalov,Punctuality,1,0.002165201,"This dentist looks like hes 13 years old, but surprisingly hes not bad at all. I would definitely go back to him",Dentist,6,4.051886792
Dr. Anatoliy Konovalov,Staff,0.8,0.283799884,"Dr. Konovalov is simply incredible. He is the most caring, passionate, personable dentist I have ever met. He performed two completely painless root canals on me. I didn't even feel the needle go in for the novocaine. My whole family goes to him and we could not be more satisfied. He is not a money hungry dentist like the rest of these wise guys, he really cares about helping his patients in an honest and professional way. He is the only dentist I have ever completely trusted with my teeth and he will probably be the last. Highly recommended !!",Dentist,6,4.051886792
Dr. Andre J. Singer,Punctuality,1,0.099045009,I've been going to Dr singer for a year now. I find him to be a bit overly friendly to the point where I'm not comfortable in going back to him.,Dentist,13,4.079646018
Dr. Andre J. Singer,Konwledge,1,0.004366909,"He is the best no questions asked. His staff are great and make you feel so welcome and loved. He is amazing and has the best personality. If you are nervous, don’t be. I have been insecure with my teeth always. He fixed my teeth and made me go from feeling ugly to beautiful, by fixing my teeth and I will never forget this. You will never regret coming here. Best Dentist out there!!!! ",Dentist,13,4.079646018
Dr. Andre J. Singer,Staff,0.7,0.106957759,"Dr. Singer is the best. He is smart,pleasant and professional. His work is great. A real class act",Dentist,13,4.079646018
Dr. Andrea Dobrenis,Punctuality,0,0.009610334,"My wife used this practice, and while doctors were fine, their back office is totally incompetent, leading to screwed up insurance claims and tens of thousands of dollars of disputed bills. Avoid all doctors from this office unless you want to spend your kid's first year fighting with them over incorrect bills",Gynecologist (OBGYN),11,4.042792793
Dr. Andrea Dobrenis,Staff,1,0.884772216,"Dr. Dobrenis is sweet, smart, gentle and caring. She spends all the time that you need with her and answers all your questions patiently. Love her",Gynecologist (OBGYN),11,4.042792793
Dr. Andres I. Rubert,Punctuality,1,0.095050823,I love Dr. Rubert! I cannot seem to find him - told by HIP of Long Island that he moved his practice to Upstate NY. Can anyone help me locate his new office. No telephone listing as of yet! Help!!! Anne A. Please leave a post here! Thanks!!,Gynecologist (OBGYN),8,4.063240741
Dr. Andres I. Rubert,Staff,1,0.327267014,"Dr. Rubert is an amazing doctor, he really shows he cares about me and my baby every time I speak with him! I will recommend him to anyone I know who is pregnant. I will be a long-time patient of his!",Gynecologist (OBGYN),8,4.063240741
Dr. Andrew A. Jacono,Punctuality,0.466666667,0.883942739,"Horrible doctor that causes permanent damage, period!","Plastic / Cosmetic Surgeon, Physician",355,4.528571429
Dr. Andrew A. Jacono,Konwledge,0.938511327,0.948717492,"Getting this surgery is the biggest regret of my life. I had surgery on my upper and lower eyelids. During my consultation, I expressed I did not want my almond shaped eyes to change. Dr. Jacono promised me that they wouldn't and that I would have no scarring. The outcome was horrific! I had huge round eyes, like saucers, with scarring above and below both eyes. He placed the incisions well above the natural crease of my eyes and flared them up to my eyebrows. This was extremely visible a year after surgery. This incompetent doctor left the fat pads in the corner of my eyes; he never removed them which was part of the surgery. My eyes were no longer symmetrical. One eye was pulled down at the corner. It looked like a ""sad eye."" His stitching was so bad; he left ""dog ears."" This doctor and his staff are extremely unprofessional. I would never recommend this doctor to anyone. There was no way I would let this doctor fix his mess; I went to another surgeon to fix his botched job.","Plastic / Cosmetic Surgeon, Physician",355,4.528571429
Dr. Andrew A. Jacono,Staff,0.935483871,0.863266449,"I had my rhinoplasty about 3 weeks ago. My result is amazing. It was a very good experience with dr Jocono and his staff. Would recommend to anyone.
Healing process is easy and I do not have any complications. Just fallow the instructions. Great doctor. Thank you. ","Plastic / Cosmetic Surgeon, Physician",355,4.528571429
Dr. Andrew C. Hecht,Punctuality,0.611111111,0.942040928,"Dr hecht is not only the most amazing surgeon but an incredible person. He operated on my grand mother 9 years ago, my mom 5 years and ago and myself last year. He treated each of us as if we were part of his own family. He is a very warm person despite how busy he is. About 3 months ago my grandmother passed away from a heart attack almost 10 years to the day. Dr Hecht called both my mom and I after he heard of her passing from her internist. This is the special kind of man he is. My neck never felt better ! Thank you Dr. Hecht and thank you for taking care of my family.",Orthopedic Surgeon,39,4.095323741
Dr. Andrew C. Hecht,Konwledge,0.833333333,0.958637663,great surgeon. His entire team is wonderful. I can't say enough good things.,Orthopedic Surgeon,39,4.095323741
Dr. Andrew C. Hecht,Staff,1,0.973468209,"I think that this physician may not be able to provide his patients with the best care b.c he is too busy. He is good and knows what he is doing but one man can only handle so many patients. There was usually a long wait to see him and more time was spent with his physician's asst. After 2 visits with him, I knew this was not the Dr. for me.",Orthopedic Surgeon,39,4.095323741
Dr. Andrew D. Frangella,Punctuality,0.928571429,0.3891105,"I had read great reviews of your practice online so I was expecting to have a great experience but I would say you exceeded my expectations. First, almost zero wait-time. Then Dr. Frangella took time talk with me before starting anything and then did some tests that I'd never had before (the 1-2-2-1-3-2-3 test!) and definitely appreciated. He explained everything he was doing as he was doing it and made sure nothing went into my eyes with those goggles. I also think he was super honest in telling me he can't say whether I have a cavity under my crown or not (which my previous dentist had told me was the case). Pretty cool. Then Alexi (sorry if I got her name wrong!) was super awesome and took lots of time to help me understand how best to handle my follow-up appointments to take the most advantage of my insurance, which no dental office or doctor's office has ever done for me. She has saved me lots of money and I'm grateful. And if that weren't enough she even said not to worry about any out-of-pocket from that first appointment. Amazing! Thank you.",Dentist,106,4.514563107
Dr. Andrew D. Frangella,Konwledge,1,0.295058498,"I recently transferred from a local dentist near home in CT to Frangella Dental and I could not be more pleased with the great customer service and friendly staff, professionalism and high work quality, and reasonable rates of the Frangella Dental practice. Dr. Andrew Frangella recently performed an implant surgery to replace an existing bridge that had become loose and was hindering my quality of life. I couldnt be more pleased with the process of working with the Frangella Dental team and the final result of the work. Lastly, Frangella Dental has always been very accomodative and on more than one occasion have made time for an 'urgent' visit, which was greatly appreciated. In summary, I highly recommend the Frangella Dental practice.",Dentist,106,4.514563107
Dr. Andrew D. Frangella,Staff,0.91954023,0.920797922,"Great environment, felt very comfortable during my cleaning and procedures. Dr. Laura was very informative and I had a good experience. ",Dentist,106,4.514563107
Dr. Andrew Fagelman,Punctuality,0.5,0.916101169,"Google Dr Fagelman assault and see Dee aka Delite and Delita Hooks violate my patient rights. She came out from behind a long closed off desk to continue to violate my patient rights Oct 1, 2012. She provoked me to get help but my MD Dr Vine was already in w/ another patient so I start to video tape after Delita face me the finger. She didn't apologize or close the door but threatened to slap the crap out if me and made a hole in my retina with a running punch after throwing her shoes not fired or arrested. Explain Hippocratic oath. They gossiped about me explain Hippa. Not fired or arrested read the about section of the YouTube. The day after me she filed a false cross complaint also a crime. Learn NYPD role I allege fixing. Suing NYPD and hope to sue Dr F before time runs out. I have 3 years. She slapped me , running punch tried to drag me down the hall by hair my arm numb 2 injections after cyst removed 2 bags on my shoulder & holding phone.",Family Doctor / G.P.,5,4.004761905
Dr. Andrew Fagelman,Konwledge,1,0.065328552,Great doctor! he's young and very knowledgeable. His office space is really cool and is shared with a dermatologist!,Family Doctor / G.P.,5,4.004761905
Dr. Andrew Fagelman,Staff,1,0.253606924,Dr. Fagelman is my PCP and he is great. Thoughtful about my health issues. He maintains a broad approach to my health and doesn't just specifically respond to my questions. Proactively cares about his patients' overall health moreso than just fixing one off illnesses or ailments. Great doctor!,Family Doctor / G.P.,5,4.004761905
Dr. Andrew Feldman,Punctuality,0.642857143,0.486874488,"I struggled with a shoulder injury (torn labrum, dislocations) for as long as I can remember. I tried everything (physical therapy, Celebrex, cortisone shot, etc.) to avoid surgery. The pain was eventually too much to handle and surgery became my only option. I was very careful in choosing an orthopedic, and I could not be happier with my choice. During the first week post-surgery, the pain medication gave me a terrible migraine and I reached out to Dr. Feldman’s office for assistance. Dr. Feldman personally returned my call that night (Saturday), when I am sure he had other plans. I was in a lot of discomfort, and the fact that Dr. Feldman was available immediately to help meant the world. I am writing this review just five months after surgery and I already feel 100&#037;. I ended up having better results than I have ever expected. I have never had any problems scheduling an appointment and I was always treated well. I am extremely grateful for everything Dr. Feldman has done for me.",Orthopedic Surgeon,19,4.075630252
